SMILES,boiling_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
ClSC(Cl)(Cl)Cl,147.5,1,0,0,0,3.2011,33.734,183.847,30.6412,28,3,24,22,4.3125,1.375
ClC1=C(Cl)C(Br)=CC=C1,245,0,0,0,0,3.7559,44.162,223.88,18.6566,82,11,42,47,4.08333,2.05556
CC1=CC=C(F)C=C1,116.6,0,0,0,0,2.13412,31.137,110.053,7.33688,62,7,36,38,3.22222,1.83333
C[Si](C)(C)CCCCl,151,0,0,3,0.428571,2.9535,43.49,150.063,6.52448,71,5,32,30,4.8125,1.875
FC(F)F,-82.1,0,0,0,0,1.1785,7.112,70.003,14.0006,9,0,12,9,3.11111,1
OC(=O)C(F)(F)C(F)F,134,1,1,2,0.25,0.9714,18.5868,145.999,13.2726,84,12,40,44,6.28472,2
ClCCCC#N,192,1,0,2,0.4,1.52898,25.567,103.019,8.58491,35,3,18,16,3,1.75
ClC1=CC=CC=C1C1=CC=CC=C1,274,0,0,1,0.0714286,4.007,56.888,188.039,8.54724,240,17,64,73,3.58333,2.97222
CC(C)OC(=O)C(C)Cl,151.5,2,0,2,0.25,1.5653,36.543,150.045,7.50224,96,8,36,36,5.58333,2.11111
CCCC(Cl)=O,102,1,0,2,0.4,1.5519,25.768,106.019,8.15527,32,3,20,18,3.61111,1.58333
CC(Cl)C(Cl)CCl,168,0,0,2,0.333333,2.4599,35.676,159.961,11.4258,46,6,26,26,4.47222,1.77778
COC1=CC=C(F)C=C1,157,1,0,1,0.111111,1.8343,32.952,126.048,7.87801,90,9,40,43,3.47222,2.16667
ClC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,310,0,0,0,0,5.2415,76.098,369.821,16.81,388,42,108,148,8.24306,3.375
FC(F)C(F)Cl,17,0,0,1,0.2,1.7859,16.753,117.98,14.7475,29,4,22,21,4.22222,1.44444
OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,161,1,1,6,0.26087,4.3528,42.8228,399.994,14.8146,1117,57,132,166,16.6875,4.75
FC1=CC=C(I)C=C1,183,0,0,0,0,2.4303,39.117,221.934,18.4945,62,7,36,38,3.22222,1.83333
ClC(Cl)(Cl)N(=O)=O,112.4,2,0,0,0,1.5908,27.2844,162.899,23.2714,42,6,30,30,5.17361,1.5
ClCC1=CC=C(Cl)C=C1Cl,248,0,0,1,0.1,3.7322,46.019,193.946,12.9297,116,12,46,51,4.33333,2.36111
COC1=CC=C(CCl)C=C1,262.5,1,0,2,0.2,2.434,42.551,156.034,8.21233,125,11,44,48,3.72222,2.5
ClCC1=CC=C(Cl)C(Cl)=C1,241,0,0,1,0.1,3.7322,46.019,193.946,12.9297,117,12,46,51,4.33333,2.36111
ClC1=CC=C(Br)C=C1Cl,237,0,0,0,0,3.7559,44.162,223.88,18.6566,84,10,42,46,4.08333,2.02778
FCI,53.4,0,0,0,0,1.3484,19.995,159.919,31.9837,4,0,6,4,2.25,1
C[Si](C)(Cl)O[Si](C)(C)Cl,138,1,0,2,0.25,2.8842,47.755,201.98,9.61811,88,6,42,40,6.375,1.75
NC1=C(F)C(F)=C(C(F)=C1F)C(F)(F)F,186,1,1,0,0,2.844,35.6884,233.008,13.7063,318,27,78,93,8.72917,3.16667
ClCC(=O)C1=CC=C(Cl)C=C1,270,1,0,2,0.181818,2.7615,46.5025,187.98,11.0576,160,13,50,55,4.58333,2.61111
C\C=C(/C)CCl,110,0,0,1,0.2,2.1914,30.151,104.039,6.93595,31,4,20,19,3.61111,1.66667
FC1=C(F)C=CC=C1,94,0,0,0,0,1.9648,26.358,114.028,9.50234,60,8,36,39,3.22222,1.86111
CCOC(=O)C(F)(F)F,61,2,0,1,0.125,1.1118,22.688,142.024,10.1446,92,9,38,39,5.67361,2.08333
NC1=CC=C(Cl)C(Cl)=C1,272,1,1,0,0,2.5756,40.8744,160.98,11.4986,84,10,42,46,4.08333,2.02778
CC1=C(Cl)C=CC(N)=C1,241,1,1,0,0,2.23062,40.6014,141.035,8.29615,84,10,42,46,4.08333,2.02778
ClC1=CC=CC(C=O)=C1,213.5,1,0,1,0.111111,2.1525,36.8395,140.003,10.0002,88,9,40,43,3.47222,2.16667
CC(Cl)OC(C)Cl,116.5,1,0,2,0.333333,2.1726,31.715,141.995,9.46635,48,4,26,24,4.47222,1.66667
FC(F)(I)C(F)(F)I,112,0,0,1,0.142857,3.042,37.934,353.803,44.2253,58,9,38,40,6.125,1.5625
ClC1=CC=CC=C1Br,204,0,0,0,0,3.1025,39.152,189.918,15.8265,60,8,36,39,3.22222,1.86111
