SMILES,boiling_point,nHBAcc,nHBDon,nRot,RotRatio,SLogP,SMR,MW,AMW,WPath,WPol,Zagreb1,Zagreb2,mZagreb1,mZagreb2
string,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
FC1=CC(F)=CC=C1,82.6,0,0,0,0,1.9648,26.358,114.028,9.50234,61,7,36,38,3.22222,1.83333
CC(=O)OCCl,116,2,0,1,0.2,0.7458,22.486,107.998,9.81798,32,3,20,18,3.61111,1.58333
CCCC[Si](C)(C)Cl,139,0,0,3,0.428571,3.2304,43.05,150.063,6.52448,71,5,32,30,4.8125,1.875
CC(Br)CCl,118,0,0,1,0.25,2.0086,29.109,155.934,14.1758,18,2,16,14,3.36111,1.33333
ClCCOC(=O)OCCCl,241,3,0,4,0.444444,1.6172,38.74,185.985,10.3325,149,8,36,35,4.61111,2.66667
ClC1C2C(C3OC13Cl)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,353,1,0,0,0,5.0192,80.415,419.777,18.2512,523,48,130,183,9.16667,3.61111
FC(Cl)(Cl)C(Cl)Cl,116,0,0,1,0.166667,2.891,31.039,183.882,22.9852,42,6,30,30,5.17361,1.5
OC1=CC(O)=C(Cl)C=C1Cl,254,2,2,0,0,2.4046,39.7916,177.959,12.7113,111,13,48,54,4.94444,2.22222
FC1=CC(=CC(F)=C1)N(=O)=O,176.5,2,0,1,0.0909091,1.873,33.0124,159.013,11.3581,150,13,52,57,5.19444,2.44444
CN(C)C(Cl)=O,167,1,0,0,0,0.9068,24.936,107.014,8.91782,29,4,22,21,4.22222,1.44444
ClC1=C(C=CC=C1)N(=O)=O,245.5,2,0,1,0.1,2.2482,38.1064,156.993,11.2138,114,12,46,51,4.33333,2.30556
OC(C(F)(F)F)C(F)(F)F,59,1,1,0,0,1.4719,18.1168,168.001,14.0001,111,12,48,51,7.23611,2
CC1=C(N)C=C(Cl)C=C1,239,1,1,0,0,2.23062,40.6014,141.035,8.29615,84,10,42,46,4.08333,2.02778
ClC1=CC=C(CC2=CC=CC=C2)C=C1,299,0,0,2,0.133333,3.9308,60.7,202.055,8.0822,329,16,68,75,3.83333,3.16667
CC(C)(O)C(Cl)(Cl)Cl,167,1,1,0,0,2.1275,36.5878,175.956,11.7304,58,9,38,40,6.125,1.5625
